iter	Logloss
0	0.6728700739
1	0.6573046246
2	0.6409853606
3	0.626979495
4	0.6240212546
5	0.6126944742
6	0.6039548336
7	0.5936782684
8	0.5843796628
9	0.5790429722
10	0.5716771466
11	0.5616049923
12	0.5460225161
13	0.5330576099
14	0.5264014597
15	0.5243518922
16	0.5138639305
17	0.508223505
18	0.4975795937
19	0.4900413153
20	0.4851513864
21	0.4790807023
22	0.4750639952
23	0.4719947302
24	0.4666631041
25	0.4626715882
26	0.4554431571
27	0.4513195294
28	0.4469332934
29	0.440044092
30	0.4350610823
31	0.4317224418
32	0.4260804882
33	0.4247732967
34	0.4198855944
35	0.4168088201
36	0.4150566134
37	0.4127807181
38	0.4086050926
39	0.406124306
40	0.4022537253
41	0.4001007298
42	0.393435324
43	0.3904200214
44	0.3896813127
45	0.3891562269
46	0.3890199238
47	0.3856721586
48	0.380514426
49	0.3784473949
50	0.3737726171
51	0.3727338406
52	0.3710668561
53	0.3693595308
54	0.3686971378
55	0.3661747443
56	0.3627845862
57	0.3582558693
58	0.355578705
59	0.3547964901
60	0.3518338183
61	0.3476991885
62	0.3460874544
63	0.3424517587
64	0.3414794747
65	0.3395970772
66	0.3378644515
67	0.3362602267
68	0.3341481396
69	0.33207886
70	0.3314275128
71	0.3296086171
72	0.3274049773
73	0.3263448516
74	0.326183401
75	0.3240794999
76	0.3227971504
77	0.3207266921
78	0.3195763671
79	0.3183768386
80	0.3180356878
81	0.3164689442
82	0.314224134
83	0.3128729781
84	0.312113444
85	0.3104838752
86	0.3083691249
87	0.3081137421
88	0.3077035448
89	0.3066454275
90	0.3053035272
91	0.3025362945
92	0.3014129508
93	0.300073801
94	0.2986749259
95	0.297636717
96	0.2974501188
97	0.2964168871
98	0.2956862989
99	0.2950481802
