iter	Passed	Remaining
0	1	195
1	3	154
2	4	156
3	6	157
4	7	144
5	9	144
6	11	146
7	12	141
8	13	140
9	15	140
10	16	135
11	18	133
12	19	131
13	21	131
14	23	130
15	23	125
16	25	122
17	26	119
18	28	119
19	29	119
20	31	119
21	33	118
22	35	118
23	37	117
24	38	116
25	40	114
26	42	113
27	43	112
28	45	111
29	47	109
30	48	107
31	50	106
32	51	105
33	53	103
34	55	102
35	57	102
36	59	101
37	61	99
38	62	97
39	63	94
40	65	93
41	66	92
42	68	90
43	70	89
44	71	87
45	73	85
46	73	83
47	74	80
48	75	78
49	77	77
50	79	76
51	80	74
52	82	73
53	84	71
54	86	70
55	88	69
56	89	67
57	91	66
58	93	64
59	95	63
60	96	61
61	98	60
62	100	58
63	101	57
64	103	55
65	104	53
66	105	52
67	107	50
68	108	48
69	109	46
70	110	45
71	111	43
72	112	41
73	114	40
74	114	38
75	116	36
76	118	35
77	120	33
78	121	32
79	123	30
80	125	29
81	127	27
82	128	26
83	130	24
84	132	23
85	134	21
86	135	20
87	137	18
88	138	17
89	139	15
90	140	13
91	142	12
92	143	10
93	144	9
94	145	7
95	146	6
96	147	4
97	148	3
98	149	1
99	151	0
